開催回,開催日,抽選数字,ストレート口数,ストレート賞金,ボックス口数,ボックス賞金,セット(ストレート)口数,セット(ストレート)賞金,セット(ボックス)口数,セット(ボックス)賞金
1,1994-10-07,"=""1149""",0,942600,0,78500,0,510500,0,39200
2,1994-10-14,"=""7921""",0,923700,0,38400,0,481000,0,19200
3,1994-10-21,"=""0097""",0,1516600,0,126300,0,821400,0,63100
4,1994-10-28,"=""0171""",0,579400,0,48200,0,313800,0,24100
5,1994-11-04,"=""0265""",0,1222900,0,50900,0,636900,0,25400
6,1994-11-11,"=""5482""",0,1300500,0,54100,0,677300,0,27000
7,1994-11-18,"=""3950""",0,1041700,0,43400,0,542500,0,21700
8,1994-11-25,"=""7507""",0,2717700,0,226400,0,1472000,0,113200
9,1994-12-02,"=""2664""",0,2293800,0,191100,0,1242400,0,95500
10,1994-12-09,"=""2436""",0,423300,0,17600,0,220400,0,8800
11,1994-12-16,"=""0254""",0,692400,0,28800,0,360600,0,14400
12,1994-12-23,"=""9722""",0,1622600,0,135200,0,878900,0,67600
13,1994-12-30,"=""4673""",0,752100,0,31300,0,391700,0,15600
14,1995-01-06,"=""1409""",0,827700,0,34400,0,431000,0,17200
15,1995-01-10,"=""6419""",0,759900,0,31600,0,395700,0,15800
16,1995-01-13,"=""0524""",0,360800,0,15000,0,187900,0,7500
17,1995-01-17,"=""8697""",0,1538000,0,64000,0,801000,0,32000
18,1995-01-20,"=""3062""",0,709000,0,29500,0,369200,0,14700
19,1995-01-24,"=""1013""",0,156600,0,13000,0,84800,0,6500
20,1995-01-27,"=""2264""",0,1053700,0,87800,0,570700,0,43900
21,1995-01-31,"=""3825""",0,424200,0,17600,0,220900,0,8800
22,1995-02-03,"=""7059""",0,1260900,0,52500,0,656700,0,26200
23,1995-02-07,"=""0283""",0,949400,0,39500,0,494400,0,19700
24,1995-02-10,"=""2321""",0,481200,0,40100,0,260600,0,20000
25,1995-02-14,"=""4556""",0,1319900,0,109900,0,714900,0,54900
26,1995-02-17,"=""3360""",0,1261900,0,105100,0,683500,0,52500
27,1995-02-21,"=""4908""",0,1295000,0,53900,0,674400,0,26900
28,1995-02-24,"=""3466""",0,1413500,0,117700,0,765600,0,58800
29,1995-02-28,"=""2061""",0,655000,0,27200,0,341100,0,13600
30,1995-03-03,"=""7566""",0,1728100,0,144000,0,936000,0,72000
31,1995-03-07,"=""4830""",0,1117500,0,46500,0,582000,0,23200
32,1995-03-10,"=""4575""",0,1243300,0,103600,0,673400,0,51800
33,1995-03-14,"=""5819""",0,1106800,0,46100,0,576400,0,23000
34,1995-03-17,"=""7521""",0,564000,0,23500,0,293700,0,11700
35,1995-03-21,"=""4703""",0,857600,0,35700,0,446600,0,17800
36,1995-03-24,"=""9776""",0,2282600,0,190200,0,1236400,0,95100
37,1995-03-28,"=""6941""",0,955900,0,39800,0,497800,0,19900
38,1995-03-31,"=""8634""",0,744200,0,31000,0,387600,0,15500
39,1995-04-04,"=""5560""",0,2027100,0,168900,0,1098000,0,84400
40,1995-04-07,"=""5584""",0,1618000,0,134800,0,876400,0,67400
41,1995-04-11,"=""0228""",0,424500,0,35300,0,229900,0,17600
42,1995-04-14,"=""9875""",0,1627900,0,67800,0,847800,0,33900
43,1995-04-18,"=""5031""",0,725500,0,30200,0,377800,0,15100
44,1995-04-21,"=""4742""",0,1269600,0,105800,0,687700,0,52900
45,1995-04-25,"=""5543""",0,861400,0,71700,0,466500,0,35800
46,1995-04-28,"=""9476""",0,1390900,0,57900,0,724400,0,28900
47,1995-05-02,"=""9125""",0,849200,0,35300,0,442200,0,17600
48,1995-05-05,"=""5074""",0,902500,0,37600,0,470000,0,18800
49,1995-05-09,"=""6910""",0,1118800,0,46600,0,582700,0,23300
50,1995-05-12,"=""0021""",0,795700,0,66300,0,431000,0,33100
51,1995-05-16,"=""7598""",0,1253800,0,52200,0,653000,0,26100
